issue_id,issue_title,issue_description,issue_status,corrective_action
VER-20889,Netbackup Master Server experiencing service restart,"Backup monitoring detected service restart affecting NetBackup master server. Operations team engaged for diagnostics. The following tables show the default backup policy engine for the following services:

The following table shows the default backup policy engine for the following services:

The following table shows the default backup policy engine for the following services:

Default backup policy engine for the following services

The following table shows the default backup policy engine for the following services:",In Progress,Corrective action: Restore data integrity by removing the integrity of the data if necessary.
VER-21422,Restore Service reporting verification failures,"Backup verification process identified missed sla in restore service. Verification failures detected during routine integrity checks. Affected devices:

(5)

(6)

(7)

(8)

(9)

(10)

(11)

(12)

(13)

(14)

(15)

(16)

(17)

(18) Impact assessment shows potential restore reliability concerns. Immediate investigation required to ensure data protection compliance.",Under Investigation,Resolution: Optimize backup operations by creating and setting up snapshots for each of the partitions in the partition table.
VER-21653,Backup Catalog Database reporting duplicate image entries,"Backup verification process identified inadequate data in backup catalog database. Duplicate image entries detected during routine integrity checks. A new, limited-run backup catalog database is available to download.  The catalog has been configured to run on the system, but cannot be restarted due to an inability to start the database from a system resource. Impact assessment shows potential restore reliability concerns. Immediate investigation required to ensure data protection compliance.",Open,Resolution: Optimize backup operations by saving and restoring data on the drive.
VER-21840,Disk Storage Pool experiencing resource exhaustion,Backup monitoring detected resource exhaustion affecting disk storage pool. Operations team engaged for diagnostics. The following is a sample of the service that's running.  This service is not yet in use.,In Progress,Corrective action: Restore data integrity by changing data integrity policy for all datasets.
VER-20711,Restore Service experiencing configuration drift,"Backup monitoring detected configuration drift affecting restore service. Operations team engaged for diagnostics. The backup catalog database may have been compromised. 

The backup catalog database may have been compromised.",Pending Validation,"Corrective action: Restore data integrity by restoring the correct data integrity, after the user has been authenticated."
VER-20901,Tape Library System experiencing media unavailability,Backup monitoring detected media unavailability affecting tape library system. Operations team engaged for diagnostics. We are currently in the process of developing a fix to the issue.  If you are experiencing this problem please let us know.,Open,Corrective action: Restore data integrity by providing appropriate data protection policies for all users.
VER-21148,Tape Library System experiencing media unavailability,Backup monitoring detected media unavailability affecting tape library system. Operations team engaged for diagnostics. The backup system will be replaced by the normal backup system. .,Open,Resolution: Optimize backup operations by using the default settings.
VER-21019,Archive Repository experiencing job timeout,Backup monitoring detected job timeout affecting archive repository. Operations team engaged for diagnostics. Backup integrity verification in progress. Team analyzing root cause.,Under Investigation,Corrective action: Restore data integrity by using a different format.
VER-21398,Tape Library System experiencing configuration drift,"Backup monitoring detected configuration drift affecting tape library system. Operations team engaged for diagnostics. We can now confirm that we are experiencing a hardware issue. 

What happened to this appliance?

We have found out that this appliance was connected to a USB cable and the drive failed.",Under Investigation,"Corrective action: Restore data integrity by reporting an error to the service provider

Service providers can verify if your service provider has received an error on a number of different occasions."
VER-20851,Deduplication Appliance experiencing configuration drift,"Backup monitoring detected configuration drift affecting deduplication appliance. Operations team engaged for diagnostics. The following is an example of a problem that we've encountered over the last few days.  It's not an exact match to the problems reported by the team, and it's not a ""real"" issue.",Open,"Resolution: Optimize backup operations by default, but you can change it as you wish."
VER-20274,Disk Storage Pool experiencing job timeout,Backup monitoring detected job timeout affecting disk storage pool. Operations team engaged for diagnostics. Replication manager detected index corruption.  Verification shows adjustments affecting restore operations.,Resolved,Corrective action: Restore data integrity by restoring the original database to its original state.
VER-21153,Snapshot Coordinator experiencing configuration drift,"Backup monitoring detected configuration drift affecting snapshot coordinator. Operations team engaged for diagnostics. ""

This week we had a very important topic that we discussed.  On the first day of a multi-day, multi-day, multi-day, multi-day (MMD) period of time, a critical security flaw in the backup policy engine was discovered.",Closed,"Resolution: Optimize backup operations by using a non-blocking copy of the buffer, and then wait for the backup to finish."
VER-20663,Snapshot Coordinator experiencing service restart,Backup monitoring detected service restart affecting snapshot coordinator. Operations team engaged for diagnostics. A bug report has been received from the following people:,In Progress,Resolution: Optimize backup operations by using more data.
VER-21944,Snapshot Coordinator experiencing resource exhaustion,"Backup monitoring detected resource exhaustion affecting snapshot coordinator. Operations team engaged for diagnostics. Please send us a message. 

CVE-2015-2873 The OpenSSL protocol does not properly protect against the possible compromise of system memory by a malicious attacker.",Resolved,Corrective action: Restore data integrity by performing catalog rebuild and validation checks.
VER-21672,Deduplication Appliance experiencing media unavailability,"Backup monitoring detected media unavailability affecting deduplication appliance. Operations team engaged for diagnostics. This is what I found. 

The first thing I noticed was that the device was not performing as expected.",In Progress,Resolution: Optimize backup operations by caching the cache to minimize the number of files on the hard drive.
VER-20283,Media Server Cluster experiencing service restart,"Backup monitoring detected service restart affecting media server cluster. Operations team engaged for diagnostics. A few minutes ago, we discovered a bug in the backup policy engine.  This feature is not currently available in our backup policy engine, but it's been in the works for a while.",Open,Resolution: Optimize backup operations by applying the same settings as in the previous step.
VER-20623,Media Server Cluster experiencing service restart,Backup monitoring detected service restart affecting media server cluster. Operations team engaged for diagnostics. We know that some users are experiencing problems with the latest versions of NetBackup and the installation may be delayed due to the changes.  The team will be working on this issue and we apologize for the inconvenience.,Closed,Resolution: Optimize backup operations by setting the maximum amount of memory required to be freed in the filesystem.
VER-20818,Disk Storage Pool experiencing job timeout,"Backup monitoring detected job timeout affecting disk storage pool. Operations team engaged for diagnostics. In case of failure, customer service representative informs customer that restoration operations are not complete and they must immediately terminate the service.  If customer service representative is unable to resume service, the customer can contact the customer service representative at 1-800-842-2345 or email customerservice@fec.",Open,"Resolution: Optimize backup operations by using DMA and a full DMA cache (this was recommended by Sveriges, Sveriges and others)."
VER-21140,Deduplication Appliance experiencing configuration drift,"Backup monitoring detected configuration drift affecting deduplication appliance. Operations team engaged for diagnostics. I'm a huge fan of the OpenTTD project and this release is definitely the next step in my journey of becoming a more professional software developer.  As a result, I would highly recommend getting this release out to all of you in the process, especially those who have a deep interest in the openTTD project and are interested in learning more about it.",Resolved,Corrective action: Restore data integrity by copying from the backup to the database.
VER-21551,Media Server Cluster experiencing network latency,"Backup monitoring detected network latency affecting media server cluster. Operations team engaged for diagnostics. - Fixed an issue where there was an error when restoring the system. 

- Fixed an issue where an error was reported if the system was not restored after installing a previous version of the game.",Pending Validation,Corrective action: Restore data integrity by deleting the data and re-regarding the data.
VER-20963,Restore Service experiencing service restart,"Backup monitoring detected service restart affecting restore service. Operations team engaged for diagnostics. Bulk restore point recovery was not successful. 

System restart: restore points are unavailable.",Resolved,"Resolution: Optimize backup operations by using a backup server

– Optimize backup operations by using a backup server Windows: Windows 10 and above are supported

Windows 10 and above are supported OS X: iOS 9 and above

iOS 9 and above OS X: macOS 10."
VER-21143,Backup Catalog Database experiencing job timeout,Backup monitoring detected job timeout affecting backup catalog database. Operations team engaged for diagnostics. System: backup policy engine detected timestamp conflicts.  Verification shows data integrity affecting restore operations.,Pending Validation,Resolution: Optimize backup operations by making the backups of a file or directory more efficient.
VER-21238,Backup Policy Engine experiencing resource exhaustion,Backup monitoring detected resource exhaustion affecting backup policy engine. Operations team engaged for diagnostics. Posted by: Mike Hagerty <mike@sjw. net> Date: Sat Jul 11 20:53:19 2017 -0500 Patch: https://github.,In Progress,Resolution: Optimize backup operations by specifying the appropriate compression level.
VER-20353,Disk Storage Pool experiencing resource exhaustion,"Backup monitoring detected resource exhaustion affecting disk storage pool. Operations team engaged for diagnostics. Installation

See the official repository for an example of installing Git. 

Install Git

To install Git, use the following command:

$ git clone https://github.",In Progress,Resolution: Optimize backup operations by setting the 'auto-recover' flag to true and a specific size in the backup.
VER-20809,Restore Service experiencing media unavailability,"Backup monitoring detected media unavailability affecting restore service. Operations team engaged for diagnostics. The repository was created by the team, and there is currently no guarantee that it will be stable.  We apologize for any inconvenience this may cause.",Under Investigation,Resolution: Optimize backup operations by reducing the amount of time it takes to restore data to the system before backup data is copied to the system.
VER-20081,Cloud Backup Gateway experiencing configuration drift,"Backup monitoring detected configuration drift affecting cloud backup gateway. Operations team engaged for diagnostics. When a disk storage pool fails, it might be impossible to recover the data from the pool.  If this happens, please refer to the following steps.",Open,Corrective action: Restore data integrity by disabling the integrity check.
VER-20631,Snapshot Coordinator experiencing resource exhaustion,"Backup monitoring detected resource exhaustion affecting snapshot coordinator. Operations team engaged for diagnostics. The DFI-8058A is running on a Cisco Fire TV, and the device is running on the following network:

5. 11.",Pending Validation,Corrective action: Restore data integrity by encrypting the data with SSL.
VER-20429,Tape Library System experiencing service restart,Backup monitoring detected service restart affecting tape library system. Operations team engaged for diagnostics. The file system is corrupted and the file system is not available on disk.  The restore operation is performed on the backup location.,Resolved,"Resolution: Optimize backup operations by using the following:

1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86."
VER-20802,Archive Repository experiencing service restart,"Backup monitoring detected service restart affecting archive repository. Operations team engaged for diagnostics. Update: An update to the system log has been sent out to the community. 

Update: A recent update to the system log has been sent out to the community.",In Progress,Resolution: Optimize backup operations by default; see below.
VER-21998,Snapshot Coordinator experiencing service restart,"Backup monitoring detected service restart affecting snapshot coordinator. Operations team engaged for diagnostics. It is believed that the snapshot coordinator is experiencing a timeout error. 

Team reviewing.",Open,"Resolution: Optimize backup operations by reducing the size of the file

CVE-2015-1067 Memory corruption on Windows (32-bit only)

CVE-2015-1066 A program that parses a program file into a C extension file, which does not contain any header files, allows remote attackers to execute arbitrary code via unspecified vectors, a different vulnerability than CVE-2015-1065, CVE-2015-1066, and CVE-2015-1067."
VER-21089,Disk Storage Pool reporting duplicate image entries,"Backup verification process identified data risk in disk storage pool. Duplicate image entries detected during routine integrity checks. Affected service: The service does not support the new DMA configuration or the update of the system data. 

Initiative to migrate to Windows 10 Pro

If you are planning on migrating your device to Windows 10 Pro, you may wish to check out the following steps to make sure you are still up to date:

Make sure the device is updated. Impact assessment shows potential restore reliability concerns. Immediate investigation required to ensure data protection compliance.",Under Investigation,Resolution: Optimize backup operations by adding a new option to the main.
VER-20007,Disk Storage Pool reporting timestamp conflicts,"Backup verification process identified data quality in disk storage pool. Timestamp conflicts detected during routine integrity checks. In case of an error, please try the following: 1.  Enable SSL certificate: SSL Certificate Sign-on with trusted certificates. Impact assessment shows potential restore reliability concerns. Immediate investigation required to ensure data protection compliance.",In Progress,Corrective action: Restore data integrity by applying a fix for errors.
VER-20417,Disk Storage Pool reporting incomplete backups,"Backup verification process identified data quality in disk storage pool. Incomplete backups detected during routine integrity checks. ""

""We have tested to verify that these backup services are working properly.  This is a first step to help restore and restore the data that has been lost in the last 6 hours. Impact assessment shows potential restore reliability concerns. Immediate investigation required to ensure data protection compliance.",Closed,"Resolution: Optimize backup operations by limiting file size

Fix: Make it possible to use the file size of the filesystem

Fix: Fix an issue with the system startup

Fix: Make it possible to run the script from the command line

Fix: Fix an issue with the Windows command prompt

Fix: Fix an issue with the ""Start"" button

Fix: Fix an issue with the ""Select"" button

Fix: Fix an issue with the ""."
VER-21114,Backup Policy Engine experiencing job timeout,"Backup monitoring detected job timeout affecting backup policy engine. Operations team engaged for diagnostics. ""

There are a few things that have been addressed:

A fix for the old issue where the server would not start if a new version was released. 

A fix for the missing command that would have prevented the client from reconnecting on boot.",Under Investigation,"Resolution: Optimize backup operations by default

Version: 1."
VER-21817,Disk Storage Pool experiencing media unavailability,"Backup monitoring detected media unavailability affecting disk storage pool. Operations team engaged for diagnostics. The recovery system has been found to have a number of security vulnerabilities that could compromise its operation.  In addition, the recovery system is vulnerable to a number of common vulnerabilities, including a possible failure of a Windows system image, a potential failure of an Internet Explorer browser and possibly a failure of a Windows media server.",In Progress,Corrective action: Restore data integrity by creating a new data file.
VER-20062,Snapshot Coordinator reporting retention policy violations,"Backup verification process identified data completeness in snapshot coordinator. Retention policy violations detected during routine integrity checks. The incident occurred on August 10th. 

On that day, the following information was sent to the Team on the issue of connectivity issues on the Riot servers:

An issue with our server was detected. Impact assessment shows potential restore reliability concerns. Immediate investigation required to ensure data protection compliance.",Under Investigation,Corrective action: Restore data integrity by performing catalog rebuild and validation checks.
VER-20673,Deduplication Appliance experiencing media unavailability,Backup monitoring detected media unavailability affecting deduplication appliance. Operations team engaged for diagnostics. I'll be back in a few hours. .,In Progress,"Resolution: Optimize backup operations by adding a new command

- Remove unnecessary files from the system when no file is saved

- Make backups work in multiple instances

- Create a new backup with a new name

- Add a file name to the backup file

- Delete a file

- Add a new backup with a new name

- Add a new backup with a new name

- Add a new backup with a new name

- Add."
VER-21071,Backup Policy Engine reporting index corruption,"Backup verification process identified data risk in backup policy engine. Index corruption detected during routine integrity checks. The archive repository was accessed successfully. 

A complete error log is available at http://git. Impact assessment shows potential restore reliability concerns. Immediate investigation required to ensure data protection compliance.",Open,"Resolution: Optimize backup operations by increasing the size of the backup backup disk

optimize backup operations by increasing the size of the backup backup disk Storage: Optimize storage for the disk

optimize storage for the disk Disk space: Optimize disk space for the disk

optimize disk space for the disk Maximum: The maximum size of the backup backup disk

The maximum size of the backup backup disk Maximum disk space: The maximum size of the backup backup disk."
VER-20866,Media Server Cluster reporting verification failures,"Backup verification process identified data quality in media server cluster. Verification failures detected during routine integrity checks. Airdrops

The following media queries are sent out to the CloudFront server cluster on each host:

The following events are sent out to the CloudFront server cluster on each host:

An internal connection is made for each cluster, which means the event is logged on the CloudFront server, and the event log on the CloudFront server. 

A cluster connection is made between. Impact assessment shows potential restore reliability concerns. Immediate investigation required to ensure data protection compliance.",In Progress,Corrective action: Restore data integrity by applying the appropriate data integrity rules.
VER-21354,Netbackup Master Server reporting duplicate image entries,"Backup verification process identified adjustments in NetBackup master server. Duplicate image entries detected during routine integrity checks. As mentioned in the last blog post, we have been trying to get a fix for this issue and the team is currently trying to figure out what steps we should take to fix it.  However, we're not sure we have enough time to get the fix right yet. Impact assessment shows potential restore reliability concerns. Immediate investigation required to ensure data protection compliance.",Open,Resolution: Optimize backup operations by creating a backup file for each file you're storing.
VER-20452,Backup Policy Engine experiencing media unavailability,"Backup monitoring detected media unavailability affecting backup policy engine. Operations team engaged for diagnostics. The server will be unable to connect to your group or to any other devices. 

The server is offline.",Open,Resolution: Optimize backup operations by using the specified files.
VER-20131,Media Server Cluster reporting verification failures,"Backup verification process identified reconciliation issues in media server cluster. Verification failures detected during routine integrity checks. ""The issue was reported on Thursday afternoon and we are now in the process of working with the Federal Communications Commission and the FCC to resolve the issue.  The problem was reported to us by an employee in the NetBackup team at the moment. Impact assessment shows potential restore reliability concerns. Immediate investigation required to ensure data protection compliance.",In Progress,Resolution: Optimize backup operations by using only a single backup and not multiple backups.
VER-20719,Archive Repository experiencing media unavailability,"Backup monitoring detected media unavailability affecting archive repository. Operations team engaged for diagnostics. Affected repositories:

Affected packages:

Affected packages:

Affected packages:

Affected packages:

Affected packages:

Affected packages:

Affected packages:

Affected packages:

Affected packages:

Affected packages:

Affected packages:",Pending Validation,Resolution: Optimize backup operations by adding a new parameter to the constructor.
VER-20557,Netbackup Master Server experiencing network latency,"Backup monitoring detected network latency affecting NetBackup master server. Operations team engaged for diagnostics. On the backup process, restore service is not updated due to a non-zero backup request. Verification shows data integrity affecting restore operations.",Closed,"Resolution: Optimize backup operations by using only one disk in RAID 0

A RAID 0 backup operation is a data backup operation, where the original backup drive is erased, and a new drive is used to create the backup."
VER-21199,Replication Manager experiencing service restart,"Backup monitoring detected service restart affecting replication manager. Operations team engaged for diagnostics. This is an emergency service that is being used by the team.  If you are experiencing a timeout error or need help, please contact the support team here: https://support.",Pending Validation,"Resolution: Optimize backup operations by the user for performance

Source: GitHub

Image source:

Download:

Windows

Windows:

OS X:

Windows 8:

Windows RT:

Linux

Source:

Windows 10

Source:

Linux

Source:

Windows 7

Source:

Linux

Source:

Source:

Source:

Source:

Source."
VER-21837,Archive Repository experiencing network latency,"Backup monitoring detected network latency affecting archive repository. Operations team engaged for diagnostics. The following data was available on the service. 

Service name: i2c-server

Service version: 2.",Resolved,Resolution: Optimize backup operations by loading all the data before the process is started.
VER-20758,Disk Storage Pool experiencing media unavailability,Backup monitoring detected media unavailability affecting disk storage pool. Operations team engaged for diagnostics. A bug has been reported to our patch team for support.  This issue can be fixed by deploying the patch.,Pending Validation,Corrective action: Restore data integrity by performing catalog rebuild and validation checks.
VER-20881,Backup Catalog Database experiencing resource exhaustion,Backup monitoring detected resource exhaustion affecting backup catalog database. Operations team engaged for diagnostics. The restore operation is performed by using the tape library system and its associated system parameters.  A patch is generated to ensure the system is up-to-date with the restore operation.,Open,Corrective action: Restore data integrity by providing a new record to the same database.
VER-21439,Cloud Backup Gateway experiencing network latency,"Backup monitoring detected network latency affecting cloud backup gateway. Operations team engaged for diagnostics. The next day, the team contacted the network administrators to try to resolve the issue.  As the team was working through the issue, they discovered that the network could not connect to the replica, but it would work.",Resolved,Corrective action: Restore data integrity by deleting any data that you've already deleted.
VER-21595,Media Server Cluster experiencing network latency,"Backup monitoring detected network latency affecting media server cluster. Operations team engaged for diagnostics. A detailed log on the archive repository can be found here. 

A more detailed log on the archive repository can be found here.",In Progress,Resolution: Optimize backup operations by using non-zero offset data.
VER-20299,Backup Policy Engine experiencing network latency,"Backup monitoring detected network latency affecting backup policy engine. Operations team engaged for diagnostics. I don't want to be the first to complain about the lack of responsiveness of the replication manager.  When I first started with the team, the replication manager was easy to use, but after a few months, I started noticing some performance issues.",Open,Resolution: Optimize backup operations by using the 'backup' option of the 'file.
VER-20410,Backup Policy Engine reporting missing restore points,"Backup verification process identified validation deficiencies in backup policy engine. Missing restore points detected during routine integrity checks. (c)

- The following file system metadata corruption reports are included in the metadata database:

- ""File system metadata corruption"" report: the file system metadata corruption information is not correct. 

- ""File system metadata corruption"" report: file system metadata corruption is not present in the backup system. Impact assessment shows potential restore reliability concerns. Immediate investigation required to ensure data protection compliance.",Closed,Resolution: Optimize backup operations by using custom VGA resolutions.
VER-21245,Archive Repository experiencing resource exhaustion,"Backup monitoring detected resource exhaustion affecting archive repository. Operations team engaged for diagnostics. This is a very special case, because the system does not have a backup system.  If you have to reboot a system after the backup is completed, you will have to restore the system manually.",Open,"Resolution: Optimize backup operations by creating and deleting multiple records

- Optimize backup operations by creating and deleting multiple records - Optimize backup operations by creating and deleting multiple records - Optimize backup operations by creating and deleting multiple records

- Optimize backup operations by creating and deleting multiple records - Optimize backup operations by creating and deleting multiple records

- Optimize backup operations by creating and deleting multiple records - Optimize backup operations by creating and deleting multiple records

- Optim."
VER-21102,Cloud Backup Gateway reporting backup chain breaks,Backup verification process identified data integrity in cloud backup gateway. Backup chain breaks detected during routine integrity checks. Please check out our blog to learn more about the issues. . Impact assessment shows potential restore reliability concerns. Immediate investigation required to ensure data protection compliance.,Resolved,"Corrective action: Restore data integrity by replacing the data with a valid, public key."
VER-20118,Deduplication Appliance experiencing service restart,Backup monitoring detected service restart affecting deduplication appliance. Operations team engaged for diagnostics. A note on how to use the backup. .,Resolved,Corrective action: Restore data integrity by modifying your password or using a custom service.
VER-20156,Netbackup Master Server experiencing resource exhaustion,Backup monitoring detected resource exhaustion affecting NetBackup master server. Operations team engaged for diagnostics. From: John D.  McAfee <john.,Under Investigation,Resolution: Optimize backup operations by using an external storage device.
VER-21523,Snapshot Coordinator reporting checksum mismatches,"Backup verification process identified missed sla in snapshot coordinator. Checksum mismatches detected during routine integrity checks. In a statement to Business Insider, the company said that in the past, the service could not be used to restore backup databases to the company's database database, which it said was offline. 

""The customer has been using this service to restore their backup database to their existing database,"" said Steve Liggett, CEO of Backup Database Solutions. Impact assessment shows potential restore reliability concerns. Immediate investigation required to ensure data protection compliance.",Resolved,Corrective action: Restore data integrity by running an anti-virus.
VER-21039,Snapshot Coordinator experiencing configuration drift,Backup monitoring detected configuration drift affecting snapshot coordinator. Operations team engaged for diagnostics. Verification shows data integrity affecting restore operations.  Update status: backup database is running.,Closed,Corrective action: Restore data integrity by performing catalog rebuild and validation checks.
VER-20734,Cloud Backup Gateway reporting retention policy violations,"Backup verification process identified reconciliation issues in cloud backup gateway. Retention policy violations detected during routine integrity checks. Cisco Security Center Manager

If you have ever encountered this problem and have been unable to log in to your Cisco Security Center, please report it to our Security Manager at 1-800-744-6200. . Impact assessment shows potential restore reliability concerns. Immediate investigation required to ensure data protection compliance.",Pending Validation,"Resolution: Optimize backup operations by using only the most recent backup file from the same folder (or folders with the same name)

- Optimize backup operations by using only the most recent backup file from the same folder (or folders with the same name) Removing a duplicate file does not cause the backup to be wiped

- Removing a duplicate file does not cause the backup to be wiped Setting an internal backup destination does not change your backup destination

- Setting an internal."
VER-21618,Archive Repository experiencing network latency,"Backup monitoring detected network latency affecting archive repository. Operations team engaged for diagnostics. It's not possible to restore a media server cluster using a single restore operation. 

If the restore operation is not supported, the restore operations can be suspended.",Resolved,Resolution: Optimize backup operations by providing a backup of the specified size in memory.
VER-20440,Media Server Cluster experiencing resource exhaustion,"Backup monitoring detected resource exhaustion affecting media server cluster. Operations team engaged for diagnostics. Affected systems: Microsoft Edge (32-bit), Microsoft Edge Pro, Microsoft Edge Tablet, Microsoft Edge Phone, Microsoft Edge Smartphone, Microsoft Edge Tablet Mini, Microsoft Edge Smartphone, Microsoft Edge Mobile, and Microsoft Edge Mobile Enterprise. 

Applies to: Windows 7, Windows Server 2008 R2 SP1, Windows Server 2012 R2 SP1,.",In Progress,Resolution: Optimize backup operations by only storing the latest available data.
VER-20864,Cloud Backup Gateway experiencing resource exhaustion,Backup monitoring detected resource exhaustion affecting cloud backup gateway. Operations team engaged for diagnostics. The user's computer was stopped and a backup was needed.  We have no idea what happened.,Under Investigation,Resolution: Optimize backup operations by performing redundant backups.
